year,obs
2004,18177.1
2006,35539.4
2007,28882.1
2009,21580.5
2010,12338.7
2013,8486.94
2014,29219
2015,21305.4
2016,34184
2017,12228.9
2018,34907.7
2019,57700
2020,44886.9
2023,9714.19
